T_mu,σ,ω₀,n_B,P,ϵ
"(33.27731092436975, 511.79020697643614)",92.9998676959915,4.561520046401202e-5,5.180824463244774e-7,1.7240227725262178e-5,0.0002479092947100004
"(34.285714285714285, 511.79020697643614)",92.99979808324811,6.972478816967833e-5,7.919112150545656e-7,2.7150858542995478e-5,0.0003781415461167417
"(35.294117647058826, 511.79020697643614)",92.99969881226586,0.00010416725649454448,1.1830974438913763e-6,4.17555301105064e-5,0.0005637421555719535
"(36.30252100840336, 511.79020697643614)",92.99956007324401,0.00015238938894050936,1.73078856637764e-6,6.283015689045696e-5,0.0008229704817284046
"(37.3109243697479, 511.79020697643614)",92.99936972924912,0.00021866729339816953,2.483551209737074e-6,9.265983539461376e-5,0.0011783973522733015
"(38.319327731092436, 511.79020697643614)",92.9991129923267,0.0003082258750852053,3.5007281292234537e-6,0.00013413812031387291,0.0016575002535096305
"(39.32773109243698, 511.79020697643614)",92.99877209494615,0.00042736128113724013,4.8538288935169e-6,0.0001908758490699877,0.002293266244971232
"(40.33613445378152, 511.79020697643614)",92.99832596227932,0.0005835646916464638,6.627935862632088e-6,0.00026731889790495346,0.0031247937690580666
"(41.34453781512605, 511.79020697643614)",92.9977498902055,0.0007856458873647222,8.92310762925437e-6,0.00036887407661966265,0.004197885023829447
"(42.352941176470594, 511.79020697643614)",92.99701523418543,0.0010438551295902923,1.1855763290420848e-5,0.0005020426354382641,0.005565620912829855
"(43.36134453781513, 511.79020697643614)",92.99608911311945,0.001370002033387617,1.5560032570432645e-5,0.000674560203726519,0.007288912086055292
"(44.36974789915966, 511.79020697643614)",92.99493413330289,0.0017775702906822493,2.018905880806771e-5,0.0008955425480243603,0.009437020038016053
"(45.3781512605042, 511.79020697643614)",92.99350813561881,0.0022818272956926363,2.5916244046206096e-5,0.0011756361091300447,0.012088043795329602
"(46.38655462184874, 511.79020697643614)",92.99176397015998,0.0028999279313071807,3.293642780329769e-5,0.0015271721788001728,0.015329369023713997
"(47.39495798319327, 511.79020697643614)",92.98964930099558,0.0036510119837879092,4.1466993477576e-5,0.001964324335136578,0.019258076839442567
"(48.403361344537814, 511.79020697643614)",92.9871064444778,0.004556294856076289,5.174889863902204e-5,0.0025032676545247946,0.023981311890742908
"(49.41176470588235, 511.79020697643614)",92.98407224310442,0.005639151441797458,6.404762764255427e-5,0.003162339421595369,0.029616609185937188
"(50.42016806722689, 511.79020697643614)",92.98047797767632,0.00692519319580188,7.865406697003913e-5,0.0039622002628119865,0.03629218095132281
"(51.42857142857142, 511.79020697643614)",92.97624931950286,0.008442338590310081,9.58853054480415e-5,0.004925995273729396,0.044147165047522564
"(52.436974789915965, 511.79020697643614)",92.97130632460922,0.01022087727348692,0.00011608536293960069,0.006079514468547735,0.05333183745724521
"(53.445378151260506, 511.79020697643614)",92.9655634712763,0.012293528348478692,0.00013962585225860258,0.007451352061186695,0.0640077917655048
"(54.45378151260504, 511.79020697643614)",92.95892974281648,0.014695493255485227,0.00016690657978691296,0.009073064284828571,0.07634808873004466
"(55.46218487394958, 511.79020697643614)",92.95130875582595,0.01746450382859134,0.00019835609128787714,0.010979325369497686,0.09053737964576182
"(56.470588235294116, 511.79020697643614)",92.94259893550867,0.0206408659796007,0.00023443216805320053,0.01320808139120366,0.1067720064186785
"(57.47899159663866, 511.79020697643614)",92.93269373833003,0.024267499655507608,0.00027562228072669585,0.015800702001212953,0.1252600820992201
"(58.48739495798319, 511.79020697643614)",92.92148192185688,0.028389975468750963,0.0003224440053384456,0.018802129674006712,0.14622155455646743
