T_mu,σ,ω₀,n_B,P,ϵ
"(22.18487394957983, 538.9971164872729)",93.0,0.0,1.5339686848414231e-9,3.403089865777312e-8,7.927737992535283e-7
"(23.19327731092437, 538.9971164872729)",92.9999990666332,3.1680776522035084e-7,3.598198415231745e-9,8.346192894424147e-8,1.855956641414744e-6
"(24.201680672268907, 538.9971164872729)",92.99999787087286,6.941597683905164e-7,7.88403866365586e-9,1.9081489571317392e-7,4.058659210271508e-6
"(25.210084033613445, 538.9971164872729)",92.9999957063049,1.4322650507045128e-6,1.6267195992584136e-8,4.100974386133759e-7,8.357874294722797e-6
"(26.218487394957982, 538.9971164872729)",92.99999178380769,2.80193042361521e-6,3.182340433740978e-8,8.343616131287834e-7,1.6318361561543663e-5
"(27.22689075630252, 538.9971164872729)",92.99998469524374,5.227501176471646e-6,5.93722393001044e-8,1.6165294987703254e-6,3.038493628337829e-5
"(28.235294117647058, 538.9971164872729)",92.99997267499536,9.34775862899936e-6,1.0616876850042527e-7,2.9977068114338506e-6,5.4226953271300187e-5
"(29.243697478991596, 538.9971164872729)",92.99995295079661,1.6090651862826806e-5,1.8275233694737106e-7,5.344335210504527e-6,9.315864743543898e-5
"(30.252100840336134, 538.9971164872729)",92.99992201432737,2.6762132823808893e-5,3.0395550389306736e-7,9.195243795131448e-6,0.00015463589634366793
"(31.260504201680675, 538.9971164872729)",92.99987445966906,4.31487886051756e-5,4.90069751510711e-7,1.5319683867188467e-5,0.0002488264990747191
"(32.26890756302521, 538.9971164872729)",92.99980353003862,6.763341288559587e-5,7.68158062326378e-7,2.4787261736658953e-5,0.00038924771886370967
"(33.27731092436975, 538.9971164872729)",92.99970024012576,0.00010332216122767525,1.1734991516769227e-6,3.905004673283961e-5,0.0005934626122212827
"(34.285714285714285, 538.9971164872729)",92.99955343109525,0.00015418152867941996,1.7511431308469614e-6,6.0037307092613804e-5,0.0008838237909903937
"(35.294117647058826, 538.9971164872729)",92.99934888775022,0.00022518308687010765,2.5575554600177814e-6,9.026264956229602e-5,0.0012882523686435692
"(36.30252100840336, 538.9971164872729)",92.99906917782626,0.00032245371779726276,3.6623232879279046e-6,0.00013294337280709393,0.001841038319030235
"(37.3109243697479, 538.9971164872729)",92.99869317702436,0.00045342903672960366,5.149897889324146e-6,0.000192131297594493,0.0025836488149551147
"(38.319327731092436, 538.9971164872729)",92.99819572302802,0.0006270076545283307,7.121346846236063e-6,0.00027285446828670005,0.0035655309473402725
"(39.32773109243698, 538.9971164872729)",92.99754739556555,0.0008537041227516577,9.696090810755164e-6,0.00038126848728155683,0.004844896500914222
"(40.33613445378152, 538.9971164872729)",92.9967136719954,0.0011457985544762286,1.3013603344156071e-5,0.0005248166195089898,0.006489478058100265
"(41.34453781512605, 538.9971164872729)",92.99565499588863,0.001517481141628391,1.7235051783368626e-5,0.0007123974528261069,0.008577245760918414
"(42.352941176470594, 538.9971164872729)",92.99432602422736,0.001984990152015118,2.2544865383126767e-5,0.0009545384812438626,0.011197078951855203
"(43.36134453781513, 538.9971164872729)",92.99267575890046,0.0025667421776277097,2.9152213876827244e-5,0.0012635750677053156,0.014449384151124832
