T_mu,sigma,omega,n_B,P,epsilon
"(75.15151515151516, 500.0)",92.06303798227967,0.22161004097192433,0.002216631827309815,0.16203036289252523,0.9462855507623822
"(76.36363636363636, 500.0)",91.97028805824169,0.2506880750242494,0.0025074818965273374,0.18596203240251105,1.0677789158611575
"(77.57575757575758, 500.0)",91.872472155714,0.2826532588805758,0.0028272103874955375,0.21268689330770815,1.2009183004400605
"(78.78787878787878, 500.0)",91.76958110499055,0.3176910745009427,0.003177672563501173,0.2424418891539842,1.3463943925966022
"(80.0, 500.0)",91.66160765736169,0.35599010123347974,0.0035607546714876348,0.27547559471598604,1.5049017410278314
"(81.21212121212122, 500.0)",91.54854554110203,0.39774141661572354,0.003978367945796116,0.3120481689746877,1.6771358039233704
"(82.42424242424242, 500.0)",91.43038868925873,0.44313797354627904,0.004432442373749217,0.35243127020299125,1.8637899166716174
"(83.63636363636364, 500.0)",91.30713038576505,0.4923739662278963,0.004924920368491336,0.3969079339119295,2.0655522503337385
"(84.84848484848484, 500.0)",91.17876296049614,0.545644173744304,0.005457750184076857,0.44577241499351355,2.283102677044915
"(86.06060606060606, 500.0)",91.04527715685896,0.6031433104786111,0.0060328794334969845,0.49932999561919367,2.5171097211292985
"(87.27272727272728, 500.0)",90.90666183890283,0.6650653720314477,0.006652248537575533,0.5578967610119416,2.768227507775825
